1, 2007-10-6, raymond james, W, 3403, 9346
2, 2010-3-25, fedexfield, T, 4167, 7088
3, 2006-3-6, everbank, L, 3512, 1983
4, 2011-10-12, everbank, T, 3639, 7045
5, 2009-11-28, bank of america, T, 3401, 1142
6, 2017-3-9, university of phoenix, W, 103, 8828
7, 2017-12-11, lambeau, L, 3665, 5213
8, 2007-12-21, gillette, L, 4670, 2899
9, 2018-11-27, lp, L, 2696, 533
10, 2000-9-3, candlestick, T, 4916, 4658
11, 2000-10-25, soldier field ii, T, 3983, 8456
12, 2018-3-7, lucas oil, T, 2369, 6120
13, 2006-3-9, louisiana superdome, T, 1443, 3880
14, 2002-4-5, university of phoenix, L, 3020, 4012
15, 2017-6-6, lp, W, 759, 4145
16, 2005-2-6, edward jones, W, 279, 4109
17, 2010-2-23, paul brown, W, 4086, 688
18, 2004-5-12, lincoln, L, 3916, 4728
19, 2006-11-1, invesco, L, 4775, 5922
20, 2002-1-27, ford, W, 159, 1644
21, 2009-6-30, lambeau, T, 3212, 3838
22, 2009-7-29, reliant, T, 797, 5362
23, 2000-1-23, lucas oil, W, 3184, 4811
24, 2002-8-15, dallas cowboys, L, 1421, 9745
25, 2001-3-14, georgia dome, T, 829, 8970
26, 2011-6-5, soldier field ii, L, 2829, 8742
27, 2000-4-22, oakland-alameda, T, 3928, 5421
28, 2011-4-11, soldier field ii, T, 3656, 8785
29, 2010-12-10, candlestick, W, 2464, 2264
30, 2011-7-3, reliant, L, 733, 7748
31, 2003-7-10, qwest, W, 1716, 9914
32, 2002-1-16, gillette, L, 2488, 3795
33, 2018-9-25, soldier field ii, T, 3196, 7792
34, 2008-11-21, lincoln, L, 1022, 4407
35, 2009-11-9, arrowhead, W, 1059, 8857
36, 2002-6-22, university of phoenix, T, 3581, 8273
37, 2011-2-1, lucas oil, W, 1014, 5697
38, 2005-4-19, invesco, L, 2352, 7069
39, 2004-3-10, qwest, L, 359, 742
40, 2006-10-19, m&t bank, W, 2435, 484
41, 2015-3-2, lincoln, L, 2700, 991
42, 2014-9-19, lp, W, 4499, 322
43, 2002-12-8, giants, L, 990, 9661
44, 2004-11-30, ford, T, 2082, 7978
45, 2014-2-10, dolphin, T, 4524, 7611
46, 2014-9-21, m&t bank, T, 2179, 7116
47, 2011-9-26, reliant, W, 1314, 5084
48, 2015-1-11, giants, L, 3713, 2390
49, 2004-1-21, ford, W, 3129, 6528
50, 2013-7-14, soldier field ii, L, 969, 8193
51, 2010-6-2, gillette, T, 1512, 6955
52, 2003-10-7, fedexfield, T, 3005, 8699
53, 2008-9-1, bank of america, L, 3816, 9651
54, 2008-12-20, gillette, T, 1620, 8523
55, 2017-7-3, candlestick, L, 4544, 6531
56, 2018-4-7, invesco, L, 2981, 7572
57, 2017-5-29, heinz, T, 4047, 7749
58, 2017-8-30, louisiana superdome, W, 2066, 8343
59, 2009-4-9, lucas oil, L, 862, 9163
60, 2007-11-27, reliant, T, 478, 997
61, 2006-4-25, dolphin, L, 174, 3494
62, 2014-11-8, lincoln, L, 2190, 8002
63, 2010-4-30, dallas cowboys, L, 4647, 9306
64, 2002-8-14, lincoln, W, 3122, 9345
65, 2002-2-27, candlestick, T, 1770, 2254
66, 2014-1-11, invesco, W, 4159, 4032
67, 2003-12-21, lp, T, 2900, 849
68, 2013-8-4, hubert metrodome, W, 4246, 6681
69, 2005-7-2, m&t bank, T, 636, 1345
70, 2018-2-28, soldier field ii, W, 188, 1693
71, 2013-11-23, qwest, W, 4729, 9312
72, 2012-12-22, dolphin, L, 592, 8719
73, 2000-7-4, everbank, W, 3789, 8120
74, 2004-3-3, m&t bank, T, 2054, 9381
75, 2014-3-21, soldier field ii, L, 3178, 7622
76, 2007-12-20, lambeau, W, 3838, 2732
77, 2016-3-10, arrowhead, L, 3975, 7635
78, 2010-4-5, ford, T, 2352, 1401
79, 2010-10-19, dallas cowboys, T, 671, 2415
80, 2017-10-4, hubert metrodome, W, 4080, 8317
81, 2017-12-12, bank of america, W, 2149, 1222
82, 2012-2-18, arrowhead, T, 1541, 2698
83, 2012-9-23, raymond james, L, 526, 1436
84, 2007-6-17, georgia dome, T, 2649, 5520
85, 2008-3-12, arrowhead, T, 2163, 7703
86, 2010-2-30, invesco, W, 4493, 7259
87, 2001-7-2, ford, L, 825, 2116
88, 2005-8-5, invesco, L, 3396, 9680
89, 2016-4-2, reliant, L, 2863, 7487
90, 2005-1-8, invesco, T, 3526, 9715
91, 2011-1-12, qwest, L, 555, 7189
92, 2001-4-13, bank of america, T, 2670, 5377
93, 2014-1-17, arrowhead, T, 3126, 4048
94, 2016-12-1, everbank, L, 476, 8819
95, 2008-4-22, bank of america, L, 3221, 8754
96, 2001-1-12, raymond james, W, 3162, 8233
97, 2009-5-2, dolphin, T, 3545, 2085
98, 2010-7-18, lucas oil, W, 3998, 4191
99, 2018-10-30, giants, L, 2743, 328
100, 2016-4-5, dallas cowboys, L, 4878, 6625
101, 2013-9-23, cleveland browns, L, 1043, 8403
102, 2005-10-12, invesco, T, 2527, 2893
103, 2014-10-26, raymond james, W, 1090, 3406
104, 2005-9-14, gillette, L, 3999, 6701
105, 2000-7-8, arrowhead, T, 2468, 4449
106, 2015-8-11, dallas cowboys, L, 4417, 4678
107, 2007-2-4, reliant, L, 995, 3564
108, 2017-12-2, ralph wilson, W, 4957, 4379
109, 2013-5-12, gillette, W, 3631, 9939
110, 2009-11-11, university of phoenix, W, 1215, 9634
111, 2011-7-29, soldier field ii, W, 293, 7975
112, 2007-4-14, lp, T, 1610, 2516
113, 2007-5-24, louisiana superdome, L, 2091, 3519
114, 2002-6-7, reliant, T, 4114, 6232
115, 2009-10-21, cleveland browns, W, 4093, 1731
116, 2005-8-17, dallas cowboys, L, 2147, 2409
117, 2004-3-14, candlestick, L, 1347, 2385
118, 2007-11-29, lambeau, T, 2017, 3782
119, 2011-11-21, ford, L, 532, 7387
120, 2007-9-29, university of phoenix, T, 907, 6386
121, 2013-5-4, university of phoenix, T, 1511, 6467
122, 2009-11-20, everbank, W, 1469, 8014
123, 2018-12-16, university of phoenix, T, 4800, 8045
124, 2004-10-9, arrowhead, L, 110, 6172
125, 2018-2-23, lucas oil, L, 3383, 7357
126, 2012-2-30, heinz, W, 4195, 5891
127, 2002-3-5, lucas oil, W, 1444, 1915
128, 2004-2-3, giants, W, 2124, 5486
129, 2011-5-17, everbank, T, 4568, 1097
130, 2000-9-9, ford, L, 2880, 1260
131, 2011-3-22, oakland-alameda, W, 2693, 4450
132, 2007-4-9, ford, L, 1129, 3031
133, 2002-2-19, paul brown, W, 2134, 3966
134, 2011-1-8, lp, L, 1131, 926
135, 2013-11-22, university of phoenix, W, 3167, 8486
136, 2006-8-21, university of phoenix, T, 4613, 545
