1, seth faucette, green bay packers, RB, 379, 867, 45786536
2, daryl moon, houston texans, QB, 30, 944, 43210404
3, emmanuel butler, kansas city chiefs, QB, 400, 767, 30280179
4, craig mitchell, chicago bears, WR, 207, 469, 16158868
5, david laberge, miami dolphins, QB, 475, 335, 3033440
6, ramon taylor, oakland raiders, RB, 350, 207, 31801263
7, jonathan craig, kansas city chiefs, WR, 152, 866, 35553041
8, ryan johnson, oakland raiders, RB, 98, 810, 6402553
9, mark le, cleveland browns, WR, 436, 411, 3496314
10, ken bumgardner, houston texans, WR, 22, 832, 44897915
11, eugene berson, kansas city chiefs, QB, 331, 62, 10372314
12, russell lovett, denver broncos, RB, 66, 889, 26912685
13, donald nichols, denver broncos, RB, 308, 361, 21428946
14, joe gilbert, new england patriots, WR, 97, 24, 1447206
15, bob carroll, new orleans saints, RB, 398, 680, 46908179
16, mark lanier, new york giants, RB, 244, 33, 8114371
17, david trejo, cincinnati bengals, WR, 387, 780, 38676917
18, forest ellis, new york giants, QB, 172, 394, 24566537
19, james gonzalez, new york giants, QB, 278, 45, 33101294
20, jonathan makin, philadelphia eagles, WR, 119, 824, 29102100
21, mark robinson, buffalo bills, RB, 332, 768, 41589551
22, david serpa, seattle seahawks, RB, 6, 781, 42179527
23, victor morris, arizona cardinals, RB, 171, 688, 38393737
24, ronald landefeld, minnesota vikings, QB, 90, 533, 8903831
25, joel kowis, denver broncos, WR, 324, 793, 26538400
26, albert burger, chicago bears, RB, 144, 102, 17229237
27, charles chenault, pittsburgh steelers, QB, 31, 611, 35638937
28, timothy jacobsen, baltimore ravens, RB, 433, 424, 32179154
29, juan miller, san francisco 49ers, RB, 294, 558, 42717594
30, cordell kittinger, dallas cowboys, WR, 213, 469, 3955907
31, lorenzo george, st louis rams, QB, 419, 914, 26189425
32, darrell summitt, atlanta falcons, RB, 421, 80, 20651381
33, samuel martin, tennessee titans, RB, 342, 725, 39234699
34, scott manzione, oakland raiders, RB, 106, 466, 31167023
35, james barnette, seattle seahawks, QB, 242, 398, 47627746
36, darrell fosmire, green bay packers, WR, 190, 667, 48443910
37, ruben smith, seattle seahawks, RB, 164, 35, 25440065
38, gene hernandez, san francisco 49ers, QB, 325, 433, 40454406
39, ronald smith, minnesota vikings, QB, 60, 109, 880273
40, ryan hinton, new york jets, RB, 133, 300, 37969266
41, joseph brown, buffalo bills, RB, 192, 435, 37931164
42, scott simmons, new england patriots, QB, 46, 799, 44722435
43, bernard wedeking, san francisco 49ers, RB, 213, 57, 34209920
44, charles mcnabb, oakland raiders, QB, 306, 108, 11982780
45, hugo talbert, denver broncos, QB, 111, 115, 25463285
46, robert winter, cincinnati bengals, WR, 70, 433, 10074035
47, issac grijalva, new england patriots, RB, 47, 802, 35776656
48, mario horne, tampa bay buccaneers, QB, 45, 173, 16454363
49, gerald martin, pittsburgh steelers, WR, 389, 631, 47675402
50, otis hernandez, tennessee titans, WR, 112, 208, 19150595
51, ernest mcdaniel, tampa bay buccaneers, QB, 150, 681, 23659911
52, pedro gonzalez, baltimore ravens, WR, 144, 788, 32668910
53, mario sharum, oakland raiders, QB, 267, 150, 33238418
54, andrew kennedy, san diego chargers, WR, 250, 251, 1909668
55, lawrence fillare, jacksonville jaguars, RB, 32, 253, 37859239
56, charles dabrowski, st louis rams, RB, 6, 74, 5598352
57, melvin ruhl, houston texans, WR, 53, 445, 42837876
58, jonathan day, new york jets, RB, 233, 212, 25596453
59, george allen, dallas cowboys, WR, 272, 210, 7506328
